netflix_id,imdb_id,year,title
1744.0,tt0086960,1984,Beverly Hills Cop
708.0,tt0177971,2000,The Perfect Storm
329.0,tt0120655,1999,Dogma
2800.0,tt0240890,2001,Serendipity
312.0,tt0146882,2000,High Fidelity
1754.0,tt0088128,1984,Sixteen Candles
4330.0,tt0114924,1995,While You Were Sleeping
3254.0,tt0287978,2003,Daredevil
3905.0,tt0230600,2001,The Others
2186.0,tt0112442,1995,Bad Boys
1561.0,tt0328828,2003,American Wedding
2743.0,tt0253474,2002,The Pianist
3538.0,tt0094715,1988,Beaches
1073.0,tt0393162,2005,Coach Carter
1615.0,tt0112346,1995,The American President
788.0,tt0109445,1994,Clerks
1719.0,tt0362270,2004,The Life Aquatic with Steve Zissou
3433.0,tt0104291,1992,Forever Young
1810.0,tt0120873,1998,U.S. Marshals
482.0,tt0120679,2002,Frida
4315.0,tt0385267,2004,In Good Company
1975.0,tt0164052,2000,Hollow Man
4302.0,tt0084434,1982,An Officer and a Gentleman
3864.0,tt0372784,2005,Batman Begins
2470.0,tt0105793,1992,Wayne's World
2465.0,tt0088258,1984,This Is Spinal Tap
1650.0,tt0080319,1980,Nine to Five
4227.0,tt0119164,1997,The Full Monty
4056.0,tt0133152,2001,Planet of the Apes
2617.0,tt0288477,2002,Ghost Ship
3782.0,tt0099582,1990,Flatliners
2699.0,tt0338188,2003,The Missing
2209.0,tt0082846,1981,On Golden Pond
3713.0,tt0387564,2004,Saw
4262.0,tt0162661,1999,Sleepy Hollow
406.0,tt0340163,2005,Hostage
1843.0,tt0109254,1994,Beverly Hills Cop III
2953.0,tt0093565,1987,Moonstruck
331.0,tt0118842,1997,Chasing Amy
3463.0,tt0147800,1999,10 Things I Hate About You
4216.0,tt0163025,2001,Jurassic Park III
4141.0,tt0184894,2000,Shanghai Noon
2128.0,tt0108002,1993,Rudy
2992.0,tt0327850,2003,The Rundown
658.0,tt0102798,1991,Robin Hood: Prince of Thieves
3418.0,tt0108147,1993,Sister Act 2: Back in the Habit
241.0,tt0053125,1959,North by Northwest
1590.0,tt0264796,2001,Life as a House
2395.0,tt0117571,1996,Scream
3138.0,tt0359013,2004,Blade: Trinity
3684.0,tt0058150,1964,Goldfinger
3966.0,tt0390022,2004,Friday Night Lights
1267.0,tt0240462,2001,Dr. Dolittle 2
1659.0,tt0107050,1993,Grumpy Old Men
2009.0,tt0134119,1999,The Talented Mr. Ripley
1466.0,tt0064665,1969,Midnight Cowboy
4402.0,tt0087800,1984,A Nightmare on Elm Street
1571.0,tt0084516,1982,Poltergeist
3936.0,tt0146675,1999,End of Days
1046.0,tt0263757,2003,Uptown Girls
3730.0,tt0127536,1998,Elizabeth
334.0,tt0395699,2005,The Pacifier
28.0,tt0979785,2002,Lilo and Stitch
705.0,tt0097815,1989,Major League
3798.0,tt0070735,1973,The Sting
143.0,tt0119174,1997,The Game
2000.0,tt0109831,1994,Four Weddings and a Funeral
963.0,tt0044081,1951,A Streetcar Named Desire
2594.0,tt0097778,1989,Look Who's Talking
443.0,tt0252444,2002,Rabbit-Proof Fence
3148.0,tt0116209,1996,The English Patient
2499.0,tt0265029,2001,America's Sweethearts
2960.0,tt0335245,2004,The Ladykillers
1174.0,tt0108037,1993,The Sandlot
199.0,tt0077416,1978,The Deer Hunter
3579.0,tt0322259,2003,2 Fast 2 Furious
4369.0,tt0084522,1981,Porky's
1305.0,tt0328538,2003,Thirteen
2457.0,tt0356470,2004,A Cinderella Story
550.0,tt0113071,1995,First Knight
4159.0,tt0303714,2002,Barbershop
4135.0,tt0049408,1956,The King and I
4488.0,tt0185014,2000,Wonder Boys
3315.0,tt0033870,1941,The Maltese Falcon
1289.0,tt0100050,1990,Look Who's Talking Too
692.0,tt0104389,1992,The Hand that Rocks the Cradle
1832.0,tt0063522,1968,Rosemary's Baby
273.0,tt0316732,2004,Taxi
2192.0,tt0174856,1999,The Hurricane
789.0,tt0101507,1991,Boyz N the Hood
3824.0,tt0120669,1998,Fear and Loathing in Las Vegas
3197.0,tt0327437,2004,Around the World in 80 Days
4080.0,tt0310281,2003,A Mighty Wind
2734.0,tt0120681,2001,From Hell
4389.0,tt0266465,2003,A Man Apart
896.0,tt0112792,1995,Dangerous Minds
4384.0,tt0363547,2004,Dawn of the Dead
3198.0,tt0101272,1991,The Addams Family
3017.0,tt0088933,1985,Cocoon
3626.0,tt0307901,2002,25th Hour
413.0,tt0280760,2002,Igby Goes Down
3165.0,tt0095031,1988,Dirty Rotten Scoundrels
4364.0,tt0074958,1976,Network
2001.0,tt0105690,1992,Under Siege
2360.0,tt0045152,1952,Singin' in the Rain
2690.0,tt0120917,2000,The Emperor's New Groove
295.0,tt0112281,1995,Ace Ventura: When Nature Calls
3256.0,tt0324133,2003,Swimming Pool
3085.0,tt0185431,2000,Little Nicky
3817.0,tt0111282,1994,Stargate
528.0,tt0371724,2005,The Hitchhiker's Guide to the Galaxy
2554.0,tt0073629,1975,The Rocky Horror Picture Show
2495.0,tt0242445,2001,Exit Wounds
4341.0,tt0277296,2002,The Scorpion King
1918.0,tt0318974,2004,The Alamo
1700.0,tt0115734,1996,Bottle Rocket
257.0,tt0070016,1973,Charlotte's Web
3466.0,tt0227538,2001,Spy Kids
330.0,tt0120890,1998,Wild Things
3893.0,tt0117318,1996,The People vs. Larry Flynt
2016.0,tt0318411,2002,The Magdalene Sisters
720.0,tt0098213,1989,Roger & Me
2675.0,tt0307479,2002,Solaris
3274.0,tt0120693,1998,Half Baked
3161.0,tt0257106,2001,Scary Movie 2
1682.0,tt0118548,1997,Absolute Power
1861.0,tt0251075,2001,Evolution
4149.0,tt0331632,2004,Scooby-Doo 2: Monsters Unleashed
442.0,tt0095647,1988,Mississippi Burning
851.0,tt0099088,1990,Back to the Future Part III
1367.0,tt0107822,1993,The Piano
4109.0,tt0144084,2000,American Psycho
311.0,tt0109707,1994,Ed Wood
1314.0,tt0100404,1990,Presumed Innocent
3489.0,tt0081633,1981,Time Bandits
252.0,tt0243585,2002,Stuart Little 2
746.0,tt0249478,2001,Domestic Disturbance
4479.0,tt0081283,1980,Ordinary People
937.0,tt0119099,1998,Fallen
3355.0,tt0119349,1997,The Ice Storm
3617.0,tt0104070,1992,Death Becomes Her
3350.0,tt0184858,2000,Reindeer Games
3522.0,tt0269095,2002,City by the Sea
2851.0,tt0106856,1993,Falling Down
1645.0,tt0314786,2003,The In-Laws
2153.0,tt0106965,1993,Free Willy
2866.0,tt0139462,1999,Message in a Bottle
2139.0,tt0090863,1986,The Color of Money
3015.0,tt0364343,2004,The Final Cut
148.0,tt0230838,2001,Sweet November
1890.0,tt0102768,1991,Regarding Henry
2809.0,tt0388500,2005,Beauty Shop
269.0,tt0098067,1989,Parenthood
1585.0,tt0206314,2001,Joy Ride
962.0,tt0297181,2002,I Spy
4089.0,tt0093260,1987,Innerspace
3058.0,tt0079116,1979,Escape from Alcatraz
4260.0,tt0250687,2001,Rat Race
3728.0,tt0108174,1993,So I Married an Axe Murderer
3890.0,tt0361467,2004,Confessions of a Teenage Drama Queen
660.0,tt0195234,2000,Saving Grace
1138.0,tt0329101,2003,Freddy vs. Jason
2348.0,tt0075005,1976,The Omen
3113.0,tt0118928,1997,Dante's Peak
2389.0,tt0104040,1992,The Cutting Edge
2371.0,tt0048728,1955,To Catch a Thief
1902.0,tt0079945,1979,Star Trek: The Motion Picture
353.0,tt0282687,2002,Life or Something Like It
3900.0,tt0245712,2000,Amores Perros
3894.0,tt0252028,2004,Surviving Christmas
3715.0,tt0088944,1985,Commando
516.0,tt0265343,2001,Monsoon Wedding
3364.0,tt0120783,1998,The Parent Trap
187.0,tt0266452,2002,Death to Smoochy
1709.0,tt0082186,1981,Clash of the Titans
2783.0,tt0107120,1993,Hocus Pocus
1027.0,tt0107969,1993,Rising Sun
2803.0,tt0112130,1995,Pride and Prejudice
3689.0,tt0384806,2005,The Amityville Horror
3670.0,tt0104187,1992,Encino Man
2400.0,tt0104431,1992,Home Alone 2: Lost in New York
2780.0,tt0118929,1998,Dark City
831.0,tt0093493,1987,Mannequin
1148.0,tt0082398,1981,For Your Eyes Only
3128.0,tt0088172,1984,Starman
862.0,tt0283084,2002,Tuck Everlasting
3414.0,tt0114148,1995,Pocahontas
118.0,tt0089880,1985,Rambo: First Blood Part II
2012.0,tt0278500,2002,The Importance of Being Earnest
1661.0,tt0074174,1976,The Bad News Bears
2136.0,tt0277371,2001,Not Another Teen Movie
108.0,tt0360009,2004,Spartan
83.0,tt0086312,1983,Silkwood
3267.0,tt0110598,1994,Muriel's Wedding
1578.0,tt0113986,1995,Nine Months
940.0,tt0119282,1997,Hercules
1637.0,tt0280380,2002,Trapped
2577.0,tt0114887,1995,A Walk in the Clouds
3071.0,tt0070903,1973,The Way We Were
989.0,tt0348593,2004,The Door in the Floor
3222.0,tt0109951,1994,Guarding Tess
1425.0,tt0093640,1987,No Way Out
3840.0,tt0084809,1982,The Toy
3153.0,tt0059113,1965,Doctor Zhivago
3265.0,tt0099703,1990,The Grifters
1035.0,tt0109635,1994,Disclosure
1983.0,tt0173840,2001,Final Fantasy: The Spirits Within
3434.0,tt0265349,2002,The Mothman Prophecies
3680.0,tt0113243,1995,Hackers
3312.0,tt0218922,2001,Original Sin
58.0,tt0116136,1996,Dragonheart
2848.0,tt0054997,1961,The Hustler
1595.0,tt0041959,1949,The Third Man
4171.0,tt0116996,1996,Mars Attacks!
759.0,tt0527467,2001,Fifteen Minutes
3544.0,tt0063374,1968,The Odd Couple
2376.0,tt0134084,2000,Scream 3
3742.0,tt0038787,1946,Notorious
2254.0,tt0295289,2003,A Guy Thing
2163.0,tt0132347,1999,Mystery Men
4284.0,tt0046912,1954,Dial M for Murder
3920.0,tt0130018,1998,I Still Know What You Did Last Summer
3347.0,tt0322589,2003,Honey
2755.0,tt0071771,1974,The Longest Yard
1482.0,tt0294357,2003,Beyond Borders
3326.0,tt0115857,1996,Chain Reaction
2519.0,tt0369672,2004,A Love Song for Bobby Long
4420.0,tt0312329,2004,Against the Ropes
819.0,tt0133751,1998,The Faculty
4269.0,tt0283026,2002,Swimfan
2072.0,tt0097637,1989,K-9
2329.0,tt0391024,2004,Control Room
